,num_employees,time_hour
0,0.0,2016-01-01 00:00:00
1,0.0,2016-01-01 01:00:00
2,0.0,2016-01-01 02:00:00
3,0.0,2016-01-01 03:00:00
4,0.0,2016-01-01 04:00:00
5,0.0,2016-01-01 05:00:00
6,0.0,2016-01-01 06:00:00
7,0.0,2016-01-01 07:00:00
8,0.0,2016-01-01 08:00:00
9,2.0,2016-01-01 09:00:00
10,2.0,2016-01-01 10:00:00
11,4.0,2016-01-01 11:00:00
12,4.0,2016-01-01 12:00:00
13,4.0,2016-01-01 13:00:00
14,6.0,2016-01-01 14:00:00
15,6.0,2016-01-01 15:00:00
16,6.0,2016-01-01 16:00:00
17,6.0,2016-01-01 17:00:00
18,4.0,2016-01-01 18:00:00
19,3.0,2016-01-01 19:00:00
20,4.0,2016-01-01 20:00:00
21,2.0,2016-01-01 21:00:00
22,2.0,2016-01-01 22:00:00
23,2.0,2016-01-01 23:00:00
24,0.0,2016-01-02 00:00:00
25,0.0,2016-01-02 01:00:00
26,0.0,2016-01-02 02:00:00
27,0.0,2016-01-02 03:00:00
28,0.0,2016-01-02 04:00:00
29,0.0,2016-01-02 05:00:00
30,0.0,2016-01-02 06:00:00
31,0.0,2016-01-02 07:00:00
32,0.0,2016-01-02 08:00:00
33,3.0,2016-01-02 09:00:00
34,3.0,2016-01-02 10:00:00
35,4.0,2016-01-02 11:00:00
36,5.0,2016-01-02 12:00:00
37,6.0,2016-01-02 13:00:00
38,5.0,2016-01-02 14:00:00
39,5.0,2016-01-02 15:00:00
40,7.0,2016-01-02 16:00:00
41,5.0,2016-01-02 17:00:00
42,5.0,2016-01-02 18:00:00
43,2.0,2016-01-02 19:00:00
44,2.0,2016-01-02 20:00:00
45,2.0,2016-01-02 21:00:00
46,2.0,2016-01-02 22:00:00
47,0.0,2016-01-02 23:00:00
48,0.0,2016-01-03 00:00:00
49,0.0,2016-01-03 01:00:00
50,0.0,2016-01-03 02:00:00
51,0.0,2016-01-03 03:00:00
52,0.0,2016-01-03 04:00:00
53,0.0,2016-01-03 05:00:00
54,0.0,2016-01-03 06:00:00
55,0.0,2016-01-03 07:00:00
56,0.0,2016-01-03 08:00:00
57,3.0,2016-01-03 09:00:00
58,5.0,2016-01-03 10:00:00
59,5.0,2016-01-03 11:00:00
60,5.0,2016-01-03 12:00:00
61,8.0,2016-01-03 13:00:00
62,9.0,2016-01-03 14:00:00
63,9.0,2016-01-03 15:00:00
64,8.0,2016-01-03 16:00:00
65,4.0,2016-01-03 17:00:00
